% Version 1.00
%
%freq[Hz];re:Trc3_S21;im:Trc3_S21;
1.000000000000000E+009,7.106038081395949E-004,2.419986529275775E-003,
1.001000000000000E+009,7.082008970689398E-004,2.356112236157060E-003,
1.002000000000000E+009,7.187533043835219E-004,2.448910614475608E-003,
1.003000000000000E+009,7.302724866402291E-004,2.448139712214470E-003,
1.004000000000000E+009,8.216977087675169E-004,2.468714723363519E-003,
1.005000000000000E+009,8.679439582039497E-004,2.542235655710101E-003,
1.006000000000000E+009,8.552932866870123E-004,2.596569247543812E-003,
1.007000000000000E+009,9.394656521255474E-004,2.664016326889396E-003,
1.008000000000000E+009,9.556405801121114E-004,2.656334778293967E-003,
1.009000000000000E+009,9.188477645570802E-004,2.758465241640806E-003,
1.010000000000000E+009,1.029547767415757E-003,2.822146983817220E-003,
1.011000000000000E+009,1.091461982141740E-003,2.841830020770431E-003,
1.012000000000000E+009,1.089919207344461E-003,2.808078657835722E-003,
1.013000000000000E+009,1.091674352634386E-003,2.993031637743115E-003,
1.014000000000000E+009,1.151824386740361E-003,2.967696171253920E-003,
1.015000000000000E+009,1.221432674082087E-003,3.001747652888298E-003,
1.016000000000000E+009,1.244754831778410E-003,3.111305879428983E-003,
1.017000000000000E+009,1.325988735438915E-003,3.124614479020238E-003,
1.018000000000000E+009,1.356303823728614E-003,3.159250831231475E-003,
1.019000000000000E+009,1.440858625341096E-003,3.248137421905994E-003,
1.020000000000000E+009,1.536035529863655E-003,3.312165848910809E-003,
1.021000000000000E+009,1.522566105439811E-003,3.368597477674484E-003,
1.022000000000000E+009,1.560029244690418E-003,3.426915500313044E-003,
1.023000000000000E+009,1.619168419782210E-003,3.455596277490258E-003,
1.024000000000000E+009,1.735932242574663E-003,3.510917769744992E-003,
1.025000000000000E+009,1.806513741173232E-003,3.600388066843152E-003,
1.026000000000000E+009,1.872821496345660E-003,3.629542188718915E-003,
1.027000000000000E+009,1.954066228295722E-003,3.728228621184826E-003,
